Timestamp: 1666160870481779192, Orientation (x, y, z, w): -0.00939348433167, -0.0152048738673, 0.656472027302, 0.751900732517, Angular velocity (x, y, z): -0.027176881209, 0.0287755206227, -0.18091276288, Linear acceleration (x, y, z): -0.236864775419, -0.982151448727, 9.8992729187
Timestamp: 1666160870531751768, Orientation (x, y, z, w): -0.00973333977163, -0.014273523353, 0.653404772282, 0.754581570625, Angular velocity (x, y, z): 0.0394331216812, 0.0511564835906, -0.162528410554, Linear acceleration (x, y, z): 0.300267964602, -0.779978990555, 8.9661693573
Timestamp: 1666160870581730616, Orientation (x, y, z, w): -0.0114564616233, -0.014406745322, 0.652028083801, 0.755744814873, Angular velocity (x, y, z): -0.0466269999743, 0.0167857203633, -0.0722052454948, Linear acceleration (x, y, z): -0.398363500834, -0.489281266928, 9.3095035553
Timestamp: 1666160870631793400, Orientation (x, y, z, w): -0.00992220267653, -0.0132978605106, 0.650354683399, 0.757227182388, Angular velocity (x, y, z): 0.0762018412352, -0.0229138415307, -0.0905896052718, Linear acceleration (x, y, z): -0.346923172474, -0.449803829193, 11.7583026886
Timestamp: 1666160870681786680, Orientation (x, y, z, w): -0.0105275511742, -0.014173139818, 0.649504601955, 0.757932543755, Angular velocity (x, y, z): 0.00319728022441, -0.00692744040862, -0.0444954819977, Linear acceleration (x, y, z): 0.11843238771, -1.06469523907, 8.64676094055
Timestamp: 1666160870731784728, Orientation (x, y, z, w): -0.00808901060373, -0.0146383261308, 0.647948622704, 0.759284079075, Angular velocity (x, y, z): 0.0495578423142, -0.0572846010327, -0.0833957195282, Linear acceleration (x, y, z): 0.395970910788, -0.086132645607, 8.56900215149
Timestamp: 1666160870781713400, Orientation (x, y, z, w): -0.00863189436495, -0.0140531053767, 0.646417856216, 0.760592997074, Angular velocity (x, y, z): -0.000532880018, -0.000799320056103, -0.081264205277, Linear acceleration (x, y, z): -0.637620866299, -0.381615459919, 11.2104034424
Timestamp: 1666160870831736568, Orientation (x, y, z, w): -0.00714461412281, -0.0130304526538, 0.644780397415, 0.762015104294, Angular velocity (x, y, z): 0.0690079629421, -0.0245124809444, -0.0879252031446, Linear acceleration (x, y, z): -0.328978866339, -0.321801126003, 12.1470956802
Timestamp: 1666160870881861976, Orientation (x, y, z, w): -0.00809511728585, -0.0142968352884, 0.643451631069, 0.763105273247, Angular velocity (x, y, z): -0.0444954819977, -0.0167857203633, -0.0690079629421, Linear acceleration (x, y, z): 0.033496029675, -0.620872795582, 9.74255943298
Timestamp: 1666160870931813688, Orientation (x, y, z, w): -0.00769189745188, -0.0140980239958, 0.641914010048, 0.764407098293, Angular velocity (x, y, z): 0.0455612428486, 0.0295748412609, -0.0801984444261, Linear acceleration (x, y, z): 0.667528033257, -0.763230919838, 8.58814239502
Timestamp: 1666160870981818616, Orientation (x, y, z, w): -0.00626566167921, -0.0145863164216, 0.641613185406, 0.764663338661, Angular velocity (x, y, z): -0.0309070404619, -0.00479592010379, -0.0146542005241, Linear acceleration (x, y, z): 0.94387024641, 0.849363565445, 8.83697032928
Timestamp: 1666160871031728152, Orientation (x, y, z, w): -0.00627625919878, -0.0136323142797, 0.640965998173, 0.765223383904, Angular velocity (x, y, z): 0.018384359777, -0.00319728022441, -0.0349036417902, Linear acceleration (x, y, z): -0.423485517502, -0.137572973967, 8.02110290527
Timestamp: 1666160871081707448, Orientation (x, y, z, w): -0.00625582877547, -0.0132655538619, 0.641045689583, 0.765163242817, Angular velocity (x, y, z): 0.004263040144, -0.00479592010379, 0.0037301601842, Linear acceleration (x, y, z): -0.186620727181, -0.157909855247, 10.1780080795
Timestamp: 1666160871131784856, Orientation (x, y, z, w): -0.00801422819495, -0.0129058649763, 0.641194522381, 0.765028476715, Angular velocity (x, y, z): -0.00825964007527, 0.00319728022441, 0.00719388015568, Linear acceleration (x, y, z): -0.808689832687, -0.855345010757, 8.47808456421
Timestamp: 1666160871181727160, Orientation (x, y, z, w): -0.008605344221, -0.0117910029367, 0.641757428646, 0.76456785202, Angular velocity (x, y, z): 0.0167857203633, 0.0247789211571, 0.0290419608355, Linear acceleration (x, y, z): -0.421092927456, -0.441429823637, 10.6756629944
Timestamp: 1666160871231799928, Orientation (x, y, z, w): -0.00825697556138, -0.0135058714077, 0.643553555012, 0.763031959534, Angular velocity (x, y, z): -0.0295748412609, -0.0293084010482, 0.0948526412249, Linear acceleration (x, y, z): 0.723753511906, -0.344530582428, 9.63608932495
Timestamp: 1666160871281714648, Orientation (x, y, z, w): -0.00497031351551, -0.0121431555599, 0.644667387009, 0.762142658234, Angular velocity (x, y, z): 0.0269104409963, -0.0295748412609, 0.0572846010327, Linear acceleration (x, y, z): 0.36606374383, 1.79084122181, 9.2138004303
Timestamp: 1666160871331833976, Orientation (x, y, z, w): -0.00665199011564, -0.0110088288784, 0.646428763866, 0.760653614998, Angular velocity (x, y, z): -0.0444954819977, 0.0567517206073, 0.0932539999485, Linear acceleration (x, y, z): -0.306249409914, 0.242846205831, 10.5787639618
Timestamp: 1666160871381717976, Orientation (x, y, z, w): -0.00762356398627, -0.00963508244604, 0.646840035915, 0.760313570499, Angular velocity (x, y, z): 0.0378344804049, 0.0098582804203, 0.0205158814788, Linear acceleration (x, y, z): -1.17355728149, -0.970188558102, 10.879032135
Timestamp: 1666160871431820440, Orientation (x, y, z, w): -0.00801843870431, -0.00871082209051, 0.647609889507, 0.759664952755, Angular velocity (x, y, z): -0.0098582804203, 0.000532880018, 0.0399660021067, Linear acceleration (x, y, z): -0.760838389397, 0.215331614017, 10.7354774475
Timestamp: 1666160871481737496, Orientation (x, y, z, w): -0.00836801994592, -0.00757791521028, 0.647847771645, 0.759470462799, Angular velocity (x, y, z): 0.0253118015826, 0.0327721200883, 0.0125226806849, Linear acceleration (x, y, z): -0.148339554667, -0.290697693825, 7.90745544434
Timestamp: 1666160871531744344, Orientation (x, y, z, w): -0.00947685632855, -0.00841735582799, 0.649330556393, 0.758181214333, Angular velocity (x, y, z): -0.0269104409963, 0.0189172402024, 0.0791326835752, Linear acceleration (x, y, z): 0.363671183586, -0.858933866024, 10.6325969696
Timestamp: 1666160871581731448, Orientation (x, y, z, w): -0.0111546432599, -0.00784546416253, 0.651106119156, 0.756640136242, Angular velocity (x, y, z): -0.038633801043, 0.034104321152, 0.0943197607994, Linear acceleration (x, y, z): -0.502440452576, -0.198583602905, 9.71624088287
Timestamp: 1666160871631831704, Orientation (x, y, z, w): -0.0103573435917, -0.00783037953079, 0.653237104416, 0.754812657833, Angular velocity (x, y, z): 0.0239796005189, -0.0141213200986, 0.112437680364, Linear acceleration (x, y, z): 0.12919896841, -0.260790497065, 9.90764713287
Timestamp: 1666160871681719384, Orientation (x, y, z, w): -0.0106540909037, -0.00798164214939, 0.656963646412, 0.751565754414, Angular velocity (x, y, z): -0.0426304005086, -0.000799320056103, 0.197964921594, Linear acceleration (x, y, z): -0.0442626103759, 0.321801126003, 9.61575317383
Timestamp: 1666160871731747128, Orientation (x, y, z, w): -0.00971600972116, -0.00562623143196, 0.660093724728, 0.748852312565, Angular velocity (x, y, z): 0.00399659993127, 0.0151870809495, 0.165725678205, Linear acceleration (x, y, z): -0.612498819828, 1.49894726276, 10.0212936401
Timestamp: 1666160871782615320, Orientation (x, y, z, w): -0.00820426642895, -0.00500670727342, 0.663715779781, 0.745666503906, Angular velocity (x, y, z): 0.0133220003918, -0.0138548808172, 0.193169012666, Linear acceleration (x, y, z): 0.148339554667, 0.73332375288, 9.7557182312
Timestamp: 1666160871832442904, Orientation (x, y, z, w): -0.0079364143312, -0.00397085212171, 0.667321503162, 0.742450475693, Angular velocity (x, y, z): 0.0239796005189, -0.0127891208977, 0.193169012666, Linear acceleration (x, y, z): -0.693846344948, 0.0358886010945, 9.39802837372
Timestamp: 1666160871881706616, Orientation (x, y, z, w): -0.00878906622529, -0.00455708848312, 0.670811474323, 0.739285826683, Angular velocity (x, y, z): -0.0375680401921, -0.0167857203633, 0.188373088837, Linear acceleration (x, y, z): -0.446214944124, -0.244042500854, 9.65881919861
Timestamp: 1666160871931798616, Orientation (x, y, z, w): -0.00935175828636, -0.00399830983952, 0.674604952335, 0.735822141171, Angular velocity (x, y, z): 0.0061281202361, -0.00825964007527, 0.20542524755, Linear acceleration (x, y, z): -0.781175255775, -0.343334287405, 9.52124595642
Timestamp: 1666160871981745496, Orientation (x, y, z, w): -0.00917014013976, -0.00257506524213, 0.677637219429, 0.733039259911, Angular velocity (x, y, z): -0.00239796005189, -0.000799320056103, 0.164393484592, Linear acceleration (x, y, z): -0.800315856934, 0.730931222439, 9.94233894348
Timestamp: 1666160872031814008, Orientation (x, y, z, w): -0.00812685769051, -0.0012448997004, 0.681348800659, 0.729606568813, Angular velocity (x, y, z): 0.00559524027631, -0.0175850410014, 0.201961532235, Linear acceleration (x, y, z): -0.533543884754, 0.89721506834, 8.50440216064
Timestamp: 1666160872081705240, Orientation (x, y, z, w): -0.00888779293746, -0.00107837491669, 0.68490254879, 0.72626298666, Angular velocity (x, y, z): -0.00879252050072, -0.0037301601842, 0.195300519466, Linear acceleration (x, y, z): -0.541917920113, -0.275145947933, 8.20054531097
Timestamp: 1666160872131800088, Orientation (x, y, z, w): -0.00756454654038, 0.00126613327302, 0.688199460506, 0.723154306412, Angular velocity (x, y, z): 0.0298412814736, 0.00399659993127, 0.181179210544, Linear acceleration (x, y, z): -0.704612910748, 1.43793666363, 10.8407506943
